image_id,image_path,detections,max_confidence,avg_confidence
1194.0,data\processed\images_all\1194.0.jpg,0,0.0,0.0
1195.0,data\processed\images_all\1195.0.jpg,0,0.0,0.0
1196.0,data\processed\images_all\1196.0.jpg,0,0.0,0.0
1197.0,data\processed\images_all\1197.0.jpg,0,0.0,0.0
1198.0,data\processed\images_all\1198.0.jpg,0,0.0,0.0
1199.0,data\processed\images_all\1199.0.jpg,0,0.0,0.0
12.0,data\processed\images_all\12.0.jpg,0,0.0,0.0
120.0,data\processed\images_all\120.0.jpg,0,0.0,0.0
1200.0,data\processed\images_all\1200.0.jpg,0,0.0,0.0
1201.0,data\processed\images_all\1201.0.jpg,0,0.0,0.0
1202.0,data\processed\images_all\1202.0.jpg,0,0.0,0.0
1203.0,data\processed\images_all\1203.0.jpg,0,0.0,0.0
1204.0,data\processed\images_all\1204.0.jpg,0,0.0,0.0
1205.0,data\processed\images_all\1205.0.jpg,0,0.0,0.0
1206.0,data\processed\images_all\1206.0.jpg,0,0.0,0.0
1207.0,data\processed\images_all\1207.0.jpg,0,0.0,0.0
1208.0,data\processed\images_all\1208.0.jpg,0,0.0,0.0
1209.0,data\processed\images_all\1209.0.jpg,0,0.0,0.0
121.0,data\processed\images_all\121.0.jpg,0,0.0,0.0
1210.0,data\processed\images_all\1210.0.jpg,0,0.0,0.0
1211.0,data\processed\images_all\1211.0.jpg,0,0.0,0.0
1212.0,data\processed\images_all\1212.0.jpg,0,0.0,0.0
1213.0,data\processed\images_all\1213.0.jpg,0,0.0,0.0
1214.0,data\processed\images_all\1214.0.jpg,0,0.0,0.0
1215.0,data\processed\images_all\1215.0.jpg,0,0.0,0.0
1216.0,data\processed\images_all\1216.0.jpg,0,0.0,0.0
1217.0,data\processed\images_all\1217.0.jpg,0,0.0,0.0
1218.0,data\processed\images_all\1218.0.jpg,0,0.0,0.0
1219.0,data\processed\images_all\1219.0.jpg,0,0.0,0.0
122.0,data\processed\images_all\122.0.jpg,0,0.0,0.0
1220.0,data\processed\images_all\1220.0.jpg,0,0.0,0.0
1221.0,data\processed\images_all\1221.0.jpg,0,0.0,0.0
1222.0,data\processed\images_all\1222.0.jpg,0,0.0,0.0
1223.0,data\processed\images_all\1223.0.jpg,0,0.0,0.0
1224.0,data\processed\images_all\1224.0.jpg,0,0.0,0.0
1225.0,data\processed\images_all\1225.0.jpg,0,0.0,0.0
1226.0,data\processed\images_all\1226.0.jpg,0,0.0,0.0
1227.0,data\processed\images_all\1227.0.jpg,0,0.0,0.0
1228.0,data\processed\images_all\1228.0.jpg,0,0.0,0.0
1229.0,data\processed\images_all\1229.0.jpg,0,0.0,0.0
123.0,data\processed\images_all\123.0.jpg,0,0.0,0.0
1230.0,data\processed\images_all\1230.0.jpg,0,0.0,0.0
